movie_id,cast,crew
1233069,"[{'id': 1521843, 'name': 'Jeanne Goursaud', 'character': 'Sara'}, {'id': 15336, 'name': 'Dougray Scott', 'character': 'Eric Kynch'}, {'id': 2286738, 'name': 'Lera Abova', 'character': 'Irina / Kira'}, {'id': 1718589, 'name': 'Emanuel Fellmer', 'character': 'Moritz Aniol'}, {'id': 1360861, 'name': 'Annabelle Mandeng', 'character': 'Deborah Allen'}, {'id': 2414406, 'name': 'Kayode Akinyemi', 'character': 'Sergeant Donovan'}, {'id': 61634, 'name': 'Nina Liu', 'character': 'Joanna'}, {'id': 1286402, 'name': 'Susanne Michel', 'character': 'Anja'}, {'id': 1389332, 'name': 'Kris Saddler', 'character': 'Justin Martello'}, {'id': 3539103, 'name': 'Anon Mall', 'character': 'Sergeant Schlesinger'}]","[{'id': 17700, 'name': 'Christian Zübert', 'job': 'Director'}]"
1197306,"[{'id': 976, 'name': 'Джейсон Стэтхэм', 'character': 'Levon Cade'}, {'id': 973, 'name': 'Джейсон Флеминг', 'character': 'Wolo Kolisnyk'}, {'id': 17817, 'name': 'Merab Ninidze', 'character': 'Yuri'}, {'id': 1011106, 'name': 'Максимилиан Осински', 'character': 'Dimi Kolisnyk'}, {'id': 950125, 'name': 'Cokey Falkow', 'character': 'Dougie'}, {'id': 454, 'name': 'Майкл Пенья', 'character': 'Joe Garcia'}, {'id': 35029, 'name': 'Дэвид Харбор', 'character': 'Gunny Lefferty'}, {'id': 1862014, 'name': 'Ноэми Гонсалес', 'character': 'Carla Garcia'}, {'id': 3953574, 'name': 'Арианна Ривас', 'character': 'Jenny Garcia'}, {'id': 3651199, 'name': 'Айла Ги', 'character': 'Merry Cade'}]","[{'id': 19769, 'name': 'David Ayer', 'job': 'Director'}]"
986056,"[{'id': 1373737, 'name': 'Флоренс Пью', 'character': 'Yelena Belova'}, {'id': 60898, 'name': 'Себастиан Стэн', 'character': 'Bucky Barnes'}, {'id': 15886, 'name': 'Джулия Луи-Дрейфус', 'character': 'Valentina Allegra de Fontaine'}, {'id': 1700685, 'name': 'Льюис Пуллман', 'character': 'Robert Reynolds'}, {'id': 35029, 'name': 'Дэвид Харбор', 'character': 'Alexei Shostakov'}, {'id': 986808, 'name': 'Уайатт Расселл', 'character': 'John Walker'}, {'id': 1408809, 'name': 'Ханна Джон-Кэймен', 'character': 'Ava Starr'}, {'id': 18182, 'name': 'Ольга Куриленко', 'character': 'Antonia Dreykov'}, {'id': 1803287, 'name': 'Джеральдин Вишванатан', 'character': 'Mel'}, {'id': 17859, 'name': 'Уэнделл Пирс', 'character': 'Congressman Gary'}]","[{'id': 836732, 'name': 'Джейк Шрейер', 'job': 'Director'}]"
668489,"[{'id': 2524, 'name': 'Том Харди', 'character': 'Walker'}, {'id': 2234003, 'name': 'Джесси Мей Ли', 'character': 'Ellie'}, {'id': 18082, 'name': 'Тимоти Олифант', 'character': 'Vincent'}, {'id': 2178, 'name': 'Форест Уитакер', 'character': 'Lawrence Beaumont'}, {'id': 1684648, 'name': 'Джастин Корнвэлл', 'character': 'Charlie'}, {'id': 3140018, 'name': 'Келин Сепульведа', 'character': 'Mia'}, {'id': 40481, 'name': 'Луис Гусман', 'character': 'Raul'}, {'id': 1297561, 'name': 'Санни Пан', 'character': 'Ching'}, {'id': 130761, 'name': 'Ео Яннянн', 'character': ""Tsui's Mother""}, {'id': 1131590, 'name': 'Мишель Уотерсон-Гомез', 'character': 'Assassin'}]","[{'id': 142013, 'name': 'Гарет Эванс', 'job': 'Director'}]"
950387,"[{'id': 117642, 'name': 'Джейсон Момоа', 'character': 'Garrett'}, {'id': 70851, 'name': 'Джек Блэк', 'character': 'Steve'}, {'id': 2680307, 'name': 'Себастьян Юджин Хансен', 'character': 'Henry'}, {'id': 2604515, 'name': 'Эмма Майерс', 'character': 'Natalie'}, {'id': 1075037, 'name': 'Даниэль Брукс', 'character': 'Dawn'}, {'id': 38334, 'name': 'Дженнифер Кулидж', 'character': 'Vice Principal Marlene'}, {'id': 15298, 'name': 'Рэйчел Хаус', 'character': 'Malgosha (voice)'}, {'id': 1207281, 'name': 'Allan Henry', 'character': 'Malgosha (Creature Performer)'}, {'id': 5345339, 'name': 'Bram Scott-Breheny', 'character': 'Young Steve'}, {'id': 5345340, 'name': 'Moana Williams', 'character': 'Young Garrett'}]","[{'id': 53925, 'name': 'Джаред Хесс', 'job': 'Director'}]"
37135,"[{'id': 3417, 'name': 'Тони Голдуин', 'character': 'Tarzan (voice)'}, {'id': 6613, 'name': 'Минни Драйвер', 'character': 'Jane Porter (voice)'}, {'id': 515, 'name': 'Гленн Клоуз', 'character': 'Kala (voice)'}, {'id': 15789, 'name': 'Alex D. Linz', 'character': 'Young Tarzan (voice)'}, {'id': 12929, 'name': ""Rosie O'Donnell"", 'character': 'Terk (voice)'}, {'id': 8318, 'name': 'Брайан Блессид', 'character': 'Clayton (voice)'}, {'id': 15788, 'name': 'Nigel Hawthorne', 'character': 'Professor Archimedes Q. Porter (voice)'}, {'id': 2714, 'name': 'Лэнс Хенриксен', 'character': 'Kerchak (voice)'}, {'id': 4201, 'name': 'Уэйн Найт', 'character': 'Tantor (voice)'}, {'id': 116869, 'name': 'Taylor Dempsey', 'character': 'Young Tantor (voice)'}]","[{'id': 15774, 'name': 'Chris Buck', 'job': 'Director'}, {'id': 15775, 'name': 'Kevin Lima', 'job': 'Director'}]"
710258,"[{'id': 7447, 'name': 'Алек Болдуин', 'character': 'Harland Rust'}, {'id': 31532, 'name': 'Josh Hopkins', 'character': 'Wood Helm'}, {'id': 3284899, 'name': 'Patrick Scott McDermott', 'character': 'Lucas Hollister'}, {'id': 77700, 'name': 'Трэвис Фиммел', 'character': ""Fenton 'Preacher' Lang""}, {'id': 3713, 'name': 'Фрэнсис Фишер', 'character': 'Evelyn Basset'}, {'id': 113563, 'name': 'Rhys Coiro', 'character': 'Clete LaFontaine'}, {'id': 127725, 'name': 'Devon Werkheiser', 'character': 'Boone LaFontaine'}, {'id': 3982, 'name': 'Ксандер Беркли', 'character': 'Blackburn'}, {'id': 28410, 'name': 'Джейк Бьюзи', 'character': 'Drum Parker'}, {'id': 21132, 'name': 'Абрахам Бенруби', 'character': 'Big Bill Cochrane'}]","[{'id': 1151353, 'name': 'Joel Souza', 'job': 'Director'}]"
1153714,"[{'id': 974169, 'name': 'Дженна Ортега', 'character': 'Ridley'}, {'id': 22226, 'name': 'Пол Радд', 'character': 'Elliot'}, {'id': 93491, 'name': 'Уилл Портер', 'character': 'Shepard'}, {'id': 20766, 'name': 'Ричард Э. Грант', 'character': 'Odell'}, {'id': 4939, 'name': 'Теа Леони', 'character': 'Belinda'}, {'id': 1375002, 'name': 'Сунита Мани', 'character': 'Dr. Bhatia'}, {'id': 4025, 'name': 'Стив Парк', 'character': 'Dr. Song'}, {'id': 1180346, 'name': 'Энтони Кэрриган', 'character': 'Griff'}, {'id': 47730, 'name': 'Jessica Hynes', 'character': 'Shaw'}, {'id': 74487, 'name': 'David Pasquesi', 'character': 'Pilot'}]","[{'id': 1292106, 'name': 'Alex Scharfman', 'job': 'Director'}]"
1225915,"[{'id': 35747, 'name': 'Saif Ali Khan', 'character': 'Rehan Roy'}, {'id': 973402, 'name': 'Jaideep Ahlawat', 'character': 'Rajan Aulakh'}, {'id': 1336891, 'name': 'Nikita Dutta', 'character': 'Farrah'}, {'id': 53675, 'name': 'Kunal Kapoor', 'character': 'Vikram Patel'}, {'id': 53377, 'name': 'Kulbhushan Kharbanda', 'character': 'Jayant Roy'}, {'id': 2424459, 'name': 'Gagan Arora', 'character': 'Avi Roy'}, {'id': 5393298, 'name': 'Dorendra Singh Loitongbam', 'character': 'Anees Moosa'}, {'id': 5393299, 'name': 'Peter Muxka Manuel', 'character': 'Prince Gamunu'}, {'id': 150438, 'name': 'Ayaz Khan', 'character': 'Manish Ashar'}, {'id': 1543145, 'name': 'Sumit Gulati', 'character': 'Chunky'}]","[{'id': 88594, 'name': 'Robby Grewal', 'job': 'Director'}, {'id': 229253, 'name': 'Kookie Gulati', 'job': 'Director'}]"
822119,"[{'id': 53650, 'name': 'Энтони Маки', 'character': 'Sam Wilson / Captain America'}, {'id': 3, 'name': 'Харрисон Форд', 'character': 'President Thaddeus Ross'}, {'id': 1773397, 'name': 'Дэнни Рамирес', 'character': 'Joaquin Torres'}, {'id': 1394332, 'name': 'Шира Хаас', 'character': 'Ruth Bat-Seraph'}, {'id': 1462, 'name': 'Тим Блейк Нельсон', 'character': 'Samuel Sterns'}, {'id': 29382, 'name': 'Карл Ламбли', 'character': 'Isaiah Bradley'}, {'id': 4808, 'name': 'Джанкарло Эспозито', 'character': 'Sidewinder'}, {'id': 882, 'name': 'Лив Тайлер', 'character': 'Betty Ross'}, {'id': 109565, 'name': 'Зоша Рокмор', 'character': 'Leila Taylor'}, {'id': 238164, 'name': 'Jóhannes Haukur Jóhannesson', 'character': 'Copperhead'}]","[{'id': 1301933, 'name': 'Джулиус Она', 'job': 'Director'}]"
