movie_id,title,original_title,overview,genres,release_date,runtime,vote_average,vote_count,popularity,poster_path,backdrop_path
1233069,Вне юрисдикции,Exterritorial,"Когда сын бывшего офицера спецназа Сары пропадает в консульстве США, она делает всё, что в ее силах, чтобы найти его, раскрывая ужасный заговор.","['триллер', 'боевик']",2025-04-29,109,6.764,180,723.7982,/dgVev262tR4A6X2b2Vwx1hNxFNp.jpg,/ybBIIzDL1B9yH8OVFav81JTZmoN.jpg
1197306,Мастер,A Working Man,"Левон Кейд — рабочий на стройке, но когда дочь директора стройки похищают неизвестные, он обращается за помощью именно к Левону. Пришло время сбросить маски и проявить свои истинные навыки.","['боевик', 'криминал', 'триллер']",2025-03-26,116,6.505,576,482.7613,/zmcXyVExW9vVIKOgzeDpPTWJySF.jpg,/fTrQsdMS2MUw00RnzH0r3JWHhts.jpg
986056,Громовержцы*,Thunderbolts*,Команда злодеев отправляется на задание по приказу правительства.,"['боевик', 'приключения', 'фантастика']",2025-04-30,127,7.6,481,427.329,/l4UtldCA7OgORWY9UcyWBqaHWHF.jpg,/rthMuZfFv4fqEU4JVbgSW9wQ8rs.jpg
668489,Опустошение,Havoc,"Ограбление, связанное с наркотиками, выходит из-под контроля, и полицейский пробивается сквозь преступный мир коррумпированного города, чтобы спасти сына политика.","['боевик', 'криминал', 'триллер']",2025-04-24,104,6.577,514,362.7559,/tgSmrSZHMtI0PFBiDIrjfRV3qAm.jpg,/44YfHklKam8COMUxDZop2Lnp0CS.jpg
950387,Minecraft в Кино,A Minecraft Movie,"Четыре неудачника — Гарретт «Мусорщик» Гаррисон, Генри, Натали и Дон, сталкиваются с обычными проблемами, когда их внезапно затягивает через таинственный портал в Верхний мир: странную кубическую страну чудес, которая процветает благодаря воображению. Чтобы вернуться домой, им придётся освоить этот мир, отправляясь в магическое путешествие с неожиданным экспертом-ремесленником Стивом. Это приключение бросит вызов всем пятерым, заставит их проявить смелость и восстановить качества, которые делают каждого из них уникальным творческим человеком.","['семейный', 'комедия', 'приключения', 'фэнтези']",2025-03-31,101,6.2,822,360.402,/3txl2FUNZCQUnHQPzkuNc17yLIs.jpg,/2Nti3gYAX513wvhp8IiLL6ZDyOm.jpg
37135,Тарзан,Tarzan,"Тарзан вырос среди горилл, в таинственных джунглях, где не ступала нога человека. Враждебное царство диких животных долго не хотело признавать хрупкого мальчика. Вскоре на глазах у всех слабый малыш превратился в храброго юношу и стал быстрее пантеры, сильнее тигра, зорче орла. Но когда Тарзан становится настоящим королем джунглей, происходит неожиданная встреча, которая полностью меняет его жизнь…","['семейный', 'приключения', 'мультфильм', 'драма']",1999-06-18,88,7.396,6919,319.0512,/byKoqGVrtMoU1SN9TmClqOCZMvT.jpg,/86z1Yrwj7yN1xehSa0gIwHnR7xl.jpg
710258,Раст,Rust,"События разворачиваются в 1880-е годы в американском штате Канзас. После смерти родителей 13-летний Лукас Холлистер и его младший брат остаются сиротами. Однажды Лукас случайно убивает местного фермера, и за это мальчика приговаривают к смертной казни. На помощь приходит его дед — известный преступник Харланд Раст, который вызволяет внука из тюрьмы. Вместе пара беглецов направляется в Мексику, но по пятам их преследуют маршал США Вуд Хелм и охотник за головами по прозвищу «Проповедник».",['вестерн'],2025-05-01,133,6.818,22,316.6083,/tPwplkUXq8nT3I0POPf8PNQ0B82.jpg,/12tEzU0bNYKIjXXEwI5abuOotHF.jpg
1153714,Смерть Единорога,Death of a Unicorn,"Ридли вынуждена провести выходные с отцом-трудоголиком Эллиотом. И когда кажется, что их отношения может спасти только чудо, они сбивают… настоящего единорога. Алчная семейка, на которую работает Эллиот, тут же решает монетизировать его целебные свойства. Но настоящее волшебство начинается с появлением родителей детёныша, ведь свирепые единороги открывают охоту на жадных богачей — и теперь каждый получит по рогам.","['ужасы', 'фэнтези', 'комедия', 'приключения']",2025-03-27,104,6.3,157,280.6884,/lVINt3dHhoMBLscMog0oYzrjCzR.jpg,/eDBZN0TbWkxoAB0qIDFagVcPPTN.jpg
1225915,Похититель драгоценностей: Ограбление начинается,ज्वेल थीफ: द हीस्ट बिगिन्स,"Опытный вор берется за дело по краже легендарного африканского бриллианта «Красное солнце». То, что начинается как тщательно спланированное ограбление, перерастает в опасную игру с двойными уловками и сменой лояльности.","['боевик', 'триллер']",2025-04-25,116,6.6,31,278.4304,/2hVlGCYcR0EhhLwQal6q2PV9ljZ.jpg,/kFXtAwJYbRTqiyQpE9kDc8qEP3X.jpg
822119,Капитан Америка: Новый Мир,Captain America: Brave New World,"Новый президент США Таддеус Росс решает назначить Капитана Америку на официальную должность. Но в прошлом между ними были разногласия, и Сэм сомневается, что это хорошая идея. Этим же вечером на президента совершается покушение. Уилсон уверен, что предатель скрывается среди ближайшего окружения Росса.","['боевик', 'триллер', 'фантастика']",2025-02-12,119,6.152,1735,253.0975,/bljRQO5fTGen0qRV7KuPRXIdRGx.jpg,/8eifdha9GQeZAkexgtD45546XKx.jpg
1471014,Van Gogh by Vincent,Van Gogh by Vincent,,['документальный'],2025-03-26,46,6.25,14,251.696,/z73X4WKZghBh5fri31o8P6vBEB2.jpg,/1AWjIUgbZYaKbwUH5qoJaKCcRkf.jpg
324544,В потерянных землях,In the Lost Lands,"После гибели техногенной цивилизации в мир вернулись магия и монстры. По тайному заданию королевы ведьма Серая Элис отправляется из последнего города Земли в опасные Потерянные земли. Вместе с проводником Бойсом ей предстоит до полной Луны найти источник силы, что может обращать человека в зверя. Путников преследует безжалостная армия крестоносцев, а за каждым поворотом поджидают порождения тьмы.","['боевик', 'фэнтези', 'приключения']",2025-02-27,101,6.4,333,243.5122,/hoMFjgg9uwhkOjXsw1tmyNM9vsV.jpg,/op3qmNhvwEvyT7UFyPbIfQmKriB.jpg
